"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","59397606644","Codina Busquets, Blanca","15/04/1994","Heredia Sanz, Mariona","+34 XXXXXXX","+34 XXXXXXX","blanca@mailintaor.com","Ramos Rivas, Gisela","+34 XXXXZZZZ","+34 XXXXLLL","mariona@mailintaor.com","c/ de l'aviador Gisela Ramos Rivas","L'Armentera","Albanyà","blanca@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","85633320853","Marco Luna, Laia","19/11/1991","Cardenas Rovira, Valentina","+34 XXXXXXX","+34 XXXXXXX","laia@mailintaor.com","Puig Santos, Unai","+34 XXXXZZZZ","+34 XXXXLLL","valentina@mailintaor.com","c/ de l'aviador Unai Puig Santos","L'Armentera","Albanyà","laia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","83309971021","Espinosa Santiago, Mireia","22/08/1994","Valero Martos, Ismael","+34 XXXXXXX","+34 XXXXXXX","mireia@mailintaor.com","Cardona Suarez, Ainara","+34 XXXXZZZZ","+34 XXXXLLL","ismael@mailintaor.com","c/ de l'aviador Ainara Cardona Suarez","L'Armentera","Albanyà","mireia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","64872594994","Llorens Arenas, Erik","04/10/1991","Navas Vicente, Miquel","+34 XXXXXXX","+34 XXXXXXX","erik@mailintaor.com","Ramirez Roldan, Ona","+34 XXXXZZZZ","+34 XXXXLLL","miquel@mailintaor.com","c/ de l'aviador Ona Ramirez Roldan","L'Armentera","Albanyà","erik@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","88558714823","Castro Pallares, Valentina","14/07/1999","Domenech Cardenas, Gabriel","+34 XXXXXXX","+34 XXXXXXX","valentina@mailintaor.com","Pastor Salas, Quim","+34 XXXXZZZZ","+34 XXXXLLL","gabriel@mailintaor.com","c/ de l'aviador Quim Pastor Salas","L'Armentera","Albanyà","valentina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","13913451869","Suarez Alba, Quim","23/07/1992","Contreras Capdevila, Marina","+34 XXXXXXX","+34 XXXXXXX","quim@mailintaor.com","Garrido Espinosa, Adrián","+34 XXXXZZZZ","+34 XXXXLLL","marina@mailintaor.com","c/ de l'aviador Adrián Garrido Espinosa","L'Armentera","Albanyà","quim@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","22589487754","Rivas Heredia, Ana","17/02/1994","Hernandez Casanova, Alexandra","+34 XXXXXXX","+34 XXXXXXX","ana@mailintaor.com","Lopez Nieto, Pol","+34 XXXXZZZZ","+34 XXXXLLL","alexandra@mailintaor.com","c/ de l'aviador Pol Lopez Nieto","L'Armentera","Albanyà","ana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","85452991380","Molina Vargas, Axel","18/08/1992","Perez Pastor, Adrià","+34 XXXXXXX","+34 XXXXXXX","axel@mailintaor.com","Mata Jimenez, Helena","+34 XXXXZZZZ","+34 XXXXLLL","adria@mailintaor.com","c/ de l'aviador Helena Mata Jimenez","L'Armentera","Albanyà","axel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","21357760306","Carrera Aguilar, Leo","13/12/1994","Farre Salas, Jana","+34 XXXXXXX","+34 XXXXXXX","leo@mailintaor.com","Zamora Gomez, Oriol","+34 XXXXZZZZ","+34 XXXXLLL","jana@mailintaor.com","c/ de l'aviador Oriol Zamora Gomez","L'Armentera","Albanyà","leo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","27636057755","Castro Amaya, Adriana","04/07/1990","Camacho Calderon, Marina","+34 XXXXXXX","+34 XXXXXXX","adriana@mailintaor.com","Calderon Casas, Aya","+34 XXXXZZZZ","+34 XXXXLLL","marina@mailintaor.com","c/ de l'aviador Aya Calderon Casas","L'Armentera","Albanyà","adriana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","61272520019","Flores Collado, Iris","28/04/1992","Montero Alarcon, Naia","+34 XXXXXXX","+34 XXXXXXX","iris@mailintaor.com","Avila Nieto, Bernat","+34 XXXXZZZZ","+34 XXXXLLL","naia@mailintaor.com","c/ de l'aviador Bernat Avila Nieto","L'Armentera","Albanyà","iris@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","85768783270","Rey Castaño, Axel","08/05/1994","Mateu Galindo, Iris","+34 XXXXXXX","+34 XXXXXXX","axel@mailintaor.com","Villanueva Villanueva, Dídac","+34 XXXXZZZZ","+34 XXXXLLL","iris@mailintaor.com","c/ de l'aviador Dídac Villanueva Villanueva","L'Armentera","Albanyà","axel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","92288728539","Font Padilla, Alan","01/12/1990","Vidal Santamaria, Judit","+34 XXXXXXX","+34 XXXXXXX","alan@mailintaor.com","Vargas Vives, Malak","+34 XXXXZZZZ","+34 XXXXLLL","judit@mailintaor.com","c/ de l'aviador Malak Vargas Vives","L'Armentera","Albanyà","alan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","79679343380","Costa Romero, Clara","11/05/1994","Ibañez Ortega, Helena","+34 XXXXXXX","+34 XXXXXXX","clara@mailintaor.com","Merino Garcia, Miguel","+34 XXXXZZZZ","+34 XXXXLLL","helena@mailintaor.com","c/ de l'aviador Miguel Merino Garcia","L'Armentera","Albanyà","clara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","59672678444","Collado Ramirez, Ariadna","10/03/1997","Espinosa Montoya, Bruna","+34 XXXXXXX","+34 XXXXXXX","ariadna@mailintaor.com","Vicente Lorente, Mireia","+34 XXXXZZZZ","+34 XXXXLLL","bruna@mailintaor.com","c/ de l'aviador Mireia Vicente Lorente","L'Armentera","Albanyà","ariadna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","94617292417","Prat Ribas, Albert","27/09/1999","Hurtado Rey, Ismael","+34 XXXXXXX","+34 XXXXXXX","albert@mailintaor.com","Roman Quintana, Xavier","+34 XXXXZZZZ","+34 XXXXLLL","ismael@mailintaor.com","c/ de l'aviador Xavier Roman Quintana","L'Armentera","Albanyà","albert@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","85708240864","Leon Alvarez, Mariona","08/09/1995","Crespo Benitez, Pau","+34 XXXXXXX","+34 XXXXXXX","mariona@mailintaor.com","Moreno Gimeno, Cristina","+34 XXXXZZZZ","+34 XXXXLLL","pau@mailintaor.com","c/ de l'aviador Cristina Moreno Gimeno","L'Armentera","Albanyà","mariona@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
